"First Name","Last Name","Den Type","Den Number","Quantity","SKU","Item Type","Price","Item Name","Date Earned"
"Jane","Doe","lions","1","1","660222","Adventure","2.19","Champions for Nature (Lion) Adventure","2025-11-15"
"Jane","Doe","lions","1","1","646386","Adventure","2.19","Pick My Path Adventure","2025-12-10"
"Jane","Doe","lions","1","1","660218","Adventure","2.19","Race Time (Lion) Adventure","2025-11-20"
"Tom","Smith","tigers","2","1","660229","Adventure","2.19","Designed by Tiger Adventure","2025-11-18"
"Tom","Smith","tigers","2","1","660230","Adventure","2.19","Race Time (Tiger) Adventure","2025-11-20"
"Tom","Smith","tigers","2","1","619914","Adventure","2.19","Team Tiger Adventure","2025-10-15"
"Tom","Smith","tigers","2","1","219","Misc Awards","1.99","Recruiter Strip","2025-11-18"
"Sarah","Johnson","wolves","3","1","619941","Adventure","2.19","Cubs Who Care Adventure","2025-12-01"
"Sarah","Johnson","wolves","3","1","619949","Adventure","2.19","Paws of Skill Adventure","2025-12-15"
"Sarah","Johnson","wolves","3","1","660245","Adventure","2.19","Race Time (Wolf) Adventure","2025-11-20"
"Max","Williams","wolves","3","1","619941","Adventure","2.19","Cubs Who Care Adventure","2025-12-01"
"Max","Williams","wolves","3","1","619937","Adventure","2.19","Footsteps Adventure","2025-12-10"
"Max","Williams","wolves","3","1","660241","Adventure","2.19","Paws for Water Adventure","2025-12-10"
"Max","Williams","wolves","3","1","619949","Adventure","2.19","Paws of Skill Adventure","2025-12-15"
"Max","Williams","wolves","3","1","660245","Adventure","2.19","Race Time (Wolf) Adventure","2025-11-20"
"Max","Williams","wolves","3","1","660239","Adventure","2.19","Safety in Numbers Adventure","2025-12-10"
"Emily","Chen","bears","4","1","660258","Adventure","2.19","Chef Tech Adventure","2025-12-05"
"Emily","Chen","bears","4","1","619955","Adventure","2.19","Paws for Action Adventure","2025-11-25"
"Emily","Chen","bears","4","1","660257","Adventure","2.19","Race Time (Bear) Adventure","2025-11-20"
"Emily","Chen","bears","4","1","619967","Adventure","2.19","Roaring Laughter Adventure","2025-12-05"
"Jake","Wilson","webelos","5","1","619990","Adventure","2.49","Aware and Care Adventure","2025-12-01"
"Jake","Wilson","webelos","5","1","619988","Adventure","2.79","My Family Adventure","2025-12-15"
"Jake","Wilson","webelos","5","1","619985","Adventure","2.49","My Safety Adventure","2025-12-01"
"Jake","Wilson","webelos","5","1","660272","Adventure","2.79","Race Time (Webelos) Adventure","2025-11-20"
"Lily","Martinez","aol","6","1","44","Badges of Rank","2.99","Arrow of Light Rank Emblem","2025-12-15"
"Lily","Martinez","aol","6","1","660281","Adventure","2.79","Bobcat (AOL) Adventure","2025-11-10"
"Lily","Martinez","aol","6","1","660403","Adventure","2.79","Citizenship Adventure","2025-11-20"
"Lily","Martinez","aol","6","1","619974","Adventure","2.79","Duty to God Adventure","2025-11-05"
"Lily","Martinez","aol","6","1","660282","Adventure","2.79","First Aid Adventure","2025-12-10"
"Lily","Martinez","aol","6","1","660287","Adventure","2.79","High Tech Outdoors Adventure","2025-11-20"
"Lily","Martinez","aol","6","1","619972","Adventure","2.79","Outdoor Adventurer Adventure","2025-11-25"
"Lily","Martinez","aol","6","1","660289","Adventure","2.79","Race Time (Arrow of Light) Adventure","2025-11-20"
"Sam","Taylor","bears","4","1","619956","Adventure","2.19","Fellowship Adventure","2025-11-15"
"Sam","Taylor","bears","4","1","660257","Adventure","2.19","Race Time (Bear) Adventure","2025-11-20"
